name|weight|mass|A|d|bf|tw|tf|kdes|y|yp|Ix|Zx|Sx|rx|Iy|Zy|Sy|ry|J|Cw|ro|H|WGi
  |lbf/ft|lbm/ft|in²|in|in|in|in|in|in|in|in⁴|in³|in³|in|in⁴|in³|in³|in|in⁴|in⁶|in||in
WT22X167.5|167.5|167.5|49.2|22|15.9|1.03|1.77|2.56|5.53|1.54|2170|234|131|6.63|600|118|75.2|3.49|37.2|438|8.82|0.723|5.5
WT22X145|145|145|42.6|21.8|15.8|0.865|1.58|2.36|5.26|1.35|1830|196|111|6.54|521|102|65.9|3.49|25.4|275|8.66|0.733|5.5
WT22X131|131|131|38.5|21.7|15.8|0.785|1.42|2.2|5.19|1.22|1640|176|99.4|6.53|462|90.9|58.6|3.47|18.6|200|8.64|0.731|5.5
WT22X115|115|115|33.9|21.5|15.8|0.71|1.22|2.01|5.17|1.07|1440|157|88.6|6.53|398|78.3|50.5|3.43|12.4|139|8.67|0.723|5.5
WT20X327.5|327.5|327.5|96.4|21.8|16.9|1.97|3.54|4.72|5.85|2.85|3730|426|234|6.22|1440|271|170|3.86|293|3190|8.38|0.763|7.5
WT20X296.5|296.5|296.5|87.2|21.5|16.7|1.79|3.23|4.41|5.66|2.61|3310|379|209|6.16|1260|240|151|3.8|221|2340|8.29|0.762|7.5
WT20X251.5|251.5|251.5|74|21|16.4|1.54|2.76|3.94|5.38|2.25|2730|314|174|6.07|1020|197|124|3.72|138|1400|8.17|0.76|7.5
WT20X215.5|215.5|215.5|63.3|20.6|16.2|1.34|2.36|3.54|5.18|1.95|2290|266|148|6.01|843|164|104|3.65|88.2|881|8.09|0.756|7.5
WT20X198.5|198.5|198.5|58.3|20.5|16.1|1.22|2.2|3.38|5.03|1.81|2070|240|134|5.96|771|150|95.7|3.63|70.6|677|8.01|0.76|7.5
WT20X186|186|186|54.7|20.3|16.1|1.16|2.05|3.23|4.98|1.7|1930|225|126|5.95|709|138|88.3|3.6|57.7|558|8|0.756|7.5
WT20X181|181|181|53.2|20.3|16|1.12|2.01|3.19|4.91|1.66|1870|217|122|5.92|691|135|86.3|3.6|54.2|511|7.96|0.759|7.5
WT20X162|162|162|47.7|20.1|15.9|1|1.81|2.99|4.77|1.5|1650|192|108|5.88|609|119|76.6|3.57|39.6|362|7.89|0.76|7.5
WT20X148.5|148.5|148.5|43.6|19.9|15.8|0.93|1.65|2.83|4.71|1.38|1500|176|98.9|5.87|546|107|69|3.54|30.5|279|7.88|0.756|7.5
WT20X138.5|138.5|138.5|40.7|19.8|15.8|0.83|1.58|2.76|4.5|1.29|1360|157|88.6|5.78|522|102|65.9|3.58|25.7|218|7.75|0.77|7.5
WT20X124.5|124.5|124.5|36.7|19.7|15.8|0.75|1.42|2.6|4.41|1.16|1210|140|79.4|5.75|463|90.8|58.8|3.55|19|158|7.7|0.77|7.5
WT20X107.5|107.5|107.5|31.8|19.5|15.8|0.65|1.22|2.4|4.28|1.01|1030|120|68|5.71|398|77.8|50.5|3.54|12.4|101|7.66|0.771|7.5
WT20X99.5|99.5|99.5|29.2|19.3|15.8|0.65|1.07|2.25|4.47|0.929|988|117|66.5|5.81|347|68.2|44.1|3.45|9.12|83.5|7.82|0.746|7.5
WT20X196|196|196|57.8|20.8|12.4|1.42|2.52|3.7|5.94|2.33|2270|275|153|6.27|401|106|64.9|2.64|85.4|796|8.26|0.679|7.5
WT20X165.5|165.5|165.5|48.8|20.4|12.2|1.22|2.13|3.31|5.74|2|1880|231|128|6.21|322|85.7|52.9|2.57|52.5|484|8.19|0.674|7.5
WT20X163.5|163.5|163.5|47.9|20.4|12.1|1.18|2.13|3.31|5.66|1.98|1840|224|125|6.19|320|85|52.7|2.58|51.4|449|8.13|0.68|7.5
WT20X147|147|147|43.1|20.2|12|1.06|1.93|3.11|5.51|1.8|1630|199|111|6.14|281|75|46.7|2.55|38.2|322|8.06|0.681|7.5
WT20X139|139|139|41|20.1|12|1.03|1.81|2.99|5.51|1.71|1550|191|106|6.14|261|69.9|43.5|2.52|32.4|282|8.08|0.675|7.5
WT20X132|132|132|38.7|20|11.9|0.96|1.73|2.91|5.41|1.63|1450|178|99.2|6.11|246|66|41.3|2.52|27.9|233|8.02|0.679|7.5
WT20X117.5|117.5|117.5|34.6|19.8|11.9|0.83|1.58|2.76|5.17|1.45|1260|153|85.7|6.04|222|59|37.3|2.54|20.6|156|7.88|0.691|7.5
WT20X105.5|105.5|105.5|31.1|19.7|11.8|0.75|1.42|2.6|5.08|1.31|1120|137|76.7|6.01|195|52.1|33|2.51|15.2|113|7.84|0.69|7.5
WT20X91.5|91.5|91.5|26.7|19.5|11.8|0.65|1.2|2.38|4.97|1.13|955|117|65.7|5.98|165|44|28|2.49|9.65|71.2|7.81|0.688|7.5
WT20X83.5|83.5|83.5|24.5|19.3|11.8|0.65|1.03|2.21|5.19|1.1|899|115|63.7|6.05|141|37.8|23.9|2.4|6.99|62.9|8.01|0.659|7.5
WT20X74.5|74.5|74.5|21.9|19.1|11.8|0.63|0.83|2.01|5.45|1.72|815|108|59.7|6.1|114|30.9|19.4|2.29|4.66|51.9|8.23|0.626|7.5
WT18X462.5|462.5|462.5|136|21.6|18.6|3.02|4.53|5.28|6.36|3.66|5130|617|337|6.14|2470|431|266|4.26|707|9680|8.52|0.769|7.5
WT18X426.5|426.5|426.5|126|21.6|18.2|2.52|4.53|5.28|5.95|3.46|4480|533|286|5.96|2300|403|253|4.27|615|7100|8.21|0.799|7.5
WT18X401|401|401|118|21.3|18|2.38|4.29|5.04|5.8|3.28|4110|491|265|5.9|2100|372|233|4.22|519|5830|8.12|0.797|7.5
WT18X361.5|361.5|361.5|107|20.9|17.8|2.17|3.9|4.65|5.55|3.01|3610|434|235|5.81|1850|329|208|4.16|390|4250|8|0.798|7.5
WT18X326|326|326|96.2|20.5|17.6|1.97|3.54|4.49|5.35|2.73|3160|383|208|5.74|1610|290|184|4.1|295|3070|7.91|0.795|7.5
WT18X264.5|264.5|264.5|77.8|19.9|17.2|1.61|2.91|3.86|4.96|2.26|2440|298|164|5.6|1240|227|145|4|163|1600|7.72|0.794|7.5
WT18X243.5|243.5|243.5|71.7|19.7|17.1|1.5|2.68|3.63|4.84|2.1|2220|272|150|5.57|1120|206|131|3.96|128|1250|7.68|0.792|7.5
WT18X220.5|220.5|220.5|64.9|19.4|17|1.36|2.44|3.39|4.69|1.91|1980|242|134|5.52|997|184|117|3.92|96.6|914|7.6|0.792|7.5
WT18X197.5|197.5|197.5|58.1|19.2|16.8|1.22|2.2|3.15|4.53|1.73|1740|213|119|5.47|877|162|104|3.88|70.7|652|7.54|0.792|7.5
WT18X180.5|180.5|180.5|53|19|16.7|1.12|2.01|2.96|4.42|1.59|1570|192|107|5.43|786|146|94|3.85|54.1|491|7.49|0.792|7.5
WT18X165|165|165|48.4|18.8|16.6|1.02|1.85|2.8|4.3|1.46|1410|173|97|5.39|711|132|85.5|3.83|42|372|7.43|0.793|7.5
WT18X151|151|151|44.5|18.7|16.7|0.945|1.68|2.63|4.22|1.33|1280|158|88.8|5.37|648|120|77.8|3.82|32.1|285|7.41|0.792|7.5
WT18X141|141|141|41.5|18.6|16.6|0.885|1.57|2.52|4.16|1.25|1190|146|82.6|5.36|599|112|72.2|3.8|26.3|231|7.38|0.791|7.5
WT18X131|131|131|38.5|18.4|16.6|0.84|1.44|2.39|4.14|1.16|1110|137|77.5|5.36|545|102|65.8|3.76|20.8|185|7.39|0.785|7.5
WT18X123.5|123.5|123.5|36.3|18.3|16.5|0.8|1.35|2.3|4.12|1.1|1040|129|73.3|5.36|507|94.8|61.4|3.74|17.3|155|7.39|0.783|7.5
WT18X115.5|115.5|115.5|34.1|18.2|16.5|0.76|1.26|2.21|4.1|1.03|978|122|69.1|5.36|470|88|57|3.71|14.3|129|7.39|0.78|7.5
WT18X128|128|128|37.6|18.7|12.2|0.96|1.73|2.48|4.92|1.54|1210|156|87.4|5.66|264|68.5|43.2|2.65|26.4|205|7.45|0.703|5.5
WT18X116|116|116|34|18.6|12.1|0.87|1.57|2.32|4.82|1.4|1080|140|78.5|5.63|234|60.9|38.6|2.62|19.7|151|7.4|0.703|5.5
WT18X105|105|105|30.9|18.3|12.2|0.83|1.36|2.11|4.87|1.27|985|131|73.1|5.65|206|53.4|33.8|2.58|13.9|119|7.49|0.687|5.5
WT18X97|97|97|28.5|18.2|12.1|0.765|1.26|2.01|4.8|1.18|901|120|67|5.62|187|48.8|30.9|2.56|11.1|92.7|7.45|0.688|5.5
